pdf_page,adt_file,words_highlightable,status,failed_checks
1,index.html,31,PASS,
2,pg002_sec001.html,102,PASS,
3,pg003_sec001.html,116,PASS,
4,pg004_sec001.html,106,PASS,
5,pg005_sec001.html,233,PASS,
6,pg006_sec001.html,200,PASS,
7,pg007_sec001.html,245,PASS,
8,pg008_sec001.html,277,PASS,
9,pg009_sec001.html,214,PASS,
10,pg010_sec001.html,327,PASS,
11,pg011_sec001.html,354,PASS,
12,pg012_sec001.html,262,PASS,
13,pg013_sec001.html,262,PASS,
14,pg014_sec001.html,355,PASS,
15,pg015_sec001.html,342,PASS,
16,pg016_sec001.html,241,PASS,
17,pg017_sec001.html,148,PASS,
18,pg018_sec001.html,260,PASS,
19,pg019_sec001.html,311,PASS,
20,pg020_sec001.html,249,PASS,
21,pg021_sec001.html,218,PASS,
22,pg022_sec001.html,143,PASS,
23,pg023_sec001.html,80,PASS,
24,pg024_sec001.html,69,PASS,
25,pg025_sec001.html,38,PASS,
26,pg026_sec001.html,328,PASS,
27,pg027_sec001.html,123,PASS,
28,pg028_sec001.html,188,PASS,
29,pg029_sec001.html,352,PASS,
30,pg030_sec001.html,228,PASS,
31,pg031_sec001.html,195,PASS,
32,pg032_sec001.html,200,PASS,
33,pg033_sec001.html,152,PASS,
34,pg034_sec001.html,207,PASS,
35,pg035_sec001.html,142,PASS,
36,pg036_sec001.html,143,PASS,
37,pg037_sec001.html,166,PASS,
38,pg038_sec001.html,105,PASS,
39,pg039_sec001.html,181,PASS,
40,pg040_sec001.html,173,PASS,
41,pg041_sec001.html,100,PASS,
42,pg042_sec001.html,125,PASS,
43,pg043_sec001.html,182,PASS,
44,pg044_sec001.html,161,PASS,
45,pg045_sec001.html,141,PASS,
46,pg046_sec001.html,154,PASS,
47,pg047_sec001.html,162,PASS,
48,pg048_sec001.html,113,PASS,
49,pg049_sec001.html,245,PASS,
50,pg050_sec001.html,240,PASS,
51,pg051_sec001.html,153,PASS,
52,pg052_sec001.html,199,PASS,
53,pg053_sec001.html,261,PASS,
54,pg054_sec001.html,104,PASS,
55,pg055_sec001.html,94,PASS,
56,pg056_sec001.html,178,PASS,
57,pg057_sec001.html,268,PASS,
58,pg058_sec001.html,154,PASS,
59,pg059_sec001.html,271,PASS,
60,pg060_sec001.html,154,PASS,
61,pg061_sec001.html,182,PASS,
62,pg062_sec001.html,111,PASS,
63,pg063_sec001.html,235,PASS,
64,pg064_sec001.html,194,PASS,
65,pg065_sec001.html,184,PASS,
66,pg066_sec001.html,101,PASS,
67,pg067_sec001.html,156,PASS,
68,pg068_sec001.html,61,PASS,
69,pg069_sec001.html,82,PASS,
70,pg070_sec001.html,89,PASS,
71,pg071_sec001.html,163,PASS,
72,pg072_sec001.html,267,PASS,
73,pg073_sec001.html,206,PASS,
74,pg074_sec001.html,230,PASS,
75,pg075_sec001.html,82,PASS,
76,pg076_sec001.html,167,PASS,
77,pg077_sec001.html,126,PASS,
78,pg078_sec001.html,86,PASS,
79,pg079_sec001.html,138,PASS,
80,pg080_sec001.html,136,PASS,
81,pg081_sec001.html,110,PASS,
82,pg082_sec001.html,175,PASS,
83,pg083_sec001.html,128,PASS,
84,pg084_sec001.html,113,PASS,
85,pg085_sec001.html,299,PASS,
86,pg086_sec001.html,199,PASS,
87,pg087_sec001.html,171,PASS,
88,pg088_sec001.html,143,PASS,
89,pg089_sec001.html,104,PASS,
90,pg090_sec001.html,211,PASS,
91,pg091_sec001.html,104,PASS,
92,pg092_sec001.html,116,PASS,
93,pg093_sec001.html,133,PASS,
94,pg094_sec001.html,142,PASS,
95,pg095_sec001.html,228,PASS,
96,pg096_sec001.html,318,PASS,
97,pg097_sec001.html,213,PASS,
98,pg098_sec001.html,179,PASS,
99,pg099_sec001.html,185,PASS,
100,pg100_sec001.html,206,PASS,
101,pg101_sec001.html,198,PASS,
102,pg102_sec001.html,113,PASS,
103,pg103_sec001.html,202,PASS,
104,pg104_sec001.html,136,PASS,
105,pg105_sec001.html,69,PASS,
106,pg106_sec001.html,333,PASS,
107,pg107_sec001.html,314,PASS,
108,pg108_sec001.html,200,PASS,
109,pg109_sec001.html,185,PASS,
110,pg110_sec001.html,177,PASS,
111,pg111_sec001.html,141,PASS,
112,pg112_sec001.html,175,PASS,
