pdf_page,html_files,html_sections,pdf_words,html_words,token_precision_pct,token_recall_pct,token_f1_pct,reading_order_pct,pdf_image_objects,html_image_refs,missing_html_images,severity,notes
1,index.html,1,47,91,14.3,27.7,18.8,26.9,1,1,,CRITICAL,Large text/content mismatch
2,pg002_sec001.html,1,126,95,97.9,73.8,84.2,90.7,0,0,,MAJOR,Noticeable text/content mismatch
3,pg003_sec001.html,1,126,69,94.2,51.6,66.7,83.6,0,0,,CRITICAL,Large text/content mismatch
4,pg004_sec001.html,1,119,86,100.0,72.3,83.9,90.0,0,0,,MAJOR,Noticeable text/content mismatch
5,pg005_sec001.html,1,246,219,97.3,86.6,91.6,96.1,1,0,,VISUAL,Content is close; visual layout still requires overlay review
6,pg006_sec001.html,1,220,190,97.4,84.1,90.2,95.5,1,1,,VISUAL,Content is close; visual layout still requires overlay review
7,pg007_sec001.html; pg007_sec002.html,2,256,228,97.8,87.1,92.1,96.0,1,1,,LAYOUT,One PDF page split across multiple HTML sections
8,pg008_sec001.html; pg008_sec002.html; pg008_sec003.html; pg008_sec004.html,4,292,262,99.2,89.0,93.9,96.5,1,1,,LAYOUT,One PDF page split across multiple HTML sections
9,pg009_sec001.html,1,227,197,98.5,85.5,91.5,95.6,1,2,,VISUAL,Content is close; visual layout still requires overlay review
10,pg010_sec001.html; pg010_sec002.html,2,341,313,97.8,89.7,93.6,96.8,1,1,,LAYOUT,One PDF page split across multiple HTML sections
11,pg011_sec001.html,1,368,339,97.6,89.9,93.6,97.2,0,0,,VISUAL,Content is close; visual layout still requires overlay review
12,pg012_sec001.html; pg012_sec002.html,2,273,245,98.0,87.9,92.7,96.3,1,1,,LAYOUT,One PDF page split across multiple HTML sections
13,pg013_sec001.html,1,273,245,98.0,87.9,92.7,96.3,1,1,,VISUAL,Content is close; visual layout still requires overlay review
14,pg014_sec001.html,1,364,338,97.9,90.9,94.3,97.5,0,0,,VISUAL,Content is close; visual layout still requires overlay review
15,pg015_sec001.html,1,356,326,98.2,89.9,93.8,97.3,0,0,,VISUAL,Content is close; visual layout still requires overlay review
16,pg016_sec001.html; pg016_sec002.html; pg016_sec003.html,3,256,225,99.1,87.1,92.7,95.8,2,1,,LAYOUT,One PDF page split across multiple HTML sections
17,pg017_sec001.html; pg017_sec002.html,2,163,134,95.5,78.5,86.2,92.6,0,0,,MAJOR,Noticeable text/content mismatch
18,pg018_sec001.html,1,278,246,98.8,87.4,92.7,96.1,1,1,,VISUAL,Content is close; visual layout still requires overlay review
19,pg019_sec001.html,1,327,297,98.3,89.3,93.6,96.9,2,0,,VISUAL,Content is close; visual layout still requires overlay review
20,pg020_sec001.html; pg020_sec002.html; pg020_sec003.html,3,263,233,98.7,87.5,92.7,96.0,2,0,,LAYOUT,One PDF page split across multiple HTML sections
21,pg021_sec001.html,1,232,201,99.0,85.8,91.9,95.1,1,1,,VISUAL,Content is close; visual layout still requires overlay review
22,pg022_sec001.html,1,157,133,92.5,78.3,84.8,87.0,4,1,,MAJOR,Noticeable text/content mismatch
23,pg023_sec001.html,1,95,63,98.4,65.3,78.5,85.3,2,2,,MAJOR,Noticeable text/content mismatch
24,pg024_sec001.html; pg024_sec002.html,2,83,53,96.2,61.4,75.0,85.0,4,3,,MAJOR,Noticeable text/content mismatch
25,pg025_sec001.html,1,54,22,95.5,38.9,55.3,64.2,5,5,,CRITICAL,Large text/content mismatch
26,pg026_sec001.html,1,336,311,97.4,90.2,93.7,97.2,0,0,,VISUAL,Content is close; visual layout still requires overlay review
27,pg027_sec001.html; pg027_sec002.html,2,138,106,99.1,76.1,86.1,91.9,1,2,,MAJOR,Noticeable text/content mismatch
28,pg028_sec001.html; pg028_sec002.html,2,203,172,98.8,83.7,90.7,94.9,1,1,,LAYOUT,One PDF page split across multiple HTML sections
29,pg029_sec001.html,1,365,336,98.8,91.0,94.7,97.0,0,0,,VISUAL,Content is close; visual layout still requires overlay review
30,pg030_sec001.html,1,239,211,97.6,86.2,91.6,95.1,1,4,,VISUAL,Content is close; visual layout still requires overlay review
31,pg031_sec001.html,1,210,178,99.4,84.3,91.2,94.2,2,2,,VISUAL,Content is close; visual layout still requires overlay review
